fips,QAT,ECU,SEN,NED,ENG,IRN,WAL,ARG,KSA,MEX,POL,FRA,AUS,DEN,TUN,ESP,CRC,GER,JPN,BEL,CAN,MAR,CRO,BRA,SRB,SUI,CMR,POR,GHA,URU,KOR
08069,0.0,0.0,0.0,39.0,0.0,0.0,9.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
26065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35001,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,11.0,591.0,0.0,30.0,0.0,0.0,0.0,8.0,0.0,41.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
36061,70.0,60.0,12.0,67.0,59.0,190.0,252.0,204.0,0.0,145.0,42.0,364.0,0.0,0.0,15.0,47.0,0.0,192.0,241.0,4.0,518.0,46.0,50.0,313.0,13.0,11.0,0.0,0.0,0.0,0.0,143.0
47157,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
29189,0.0,0.0,0.0,0.0,0.0,37.0,0.0,24.0,19.0,106.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45079,0.0,0.0,0.0,0.0,17.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
53021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
72007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06065,7.0,0.0,0.0,11.0,41.0,0.0,90.0,29.0,0.0,3329.0,36.0,0.0,0.0,15.0,0.0,0.0,0.0,9.0,12.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24510,0.0,0.0,0.0,0.0,17.0,0.0,25.0,6.0,0.0,169.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,39.0
36059,0.0,32.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,97.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,33.0,22.0,0.0,15.0,0.0,0.0,34.0,0.0,9.0,0.0,20.0,0.0,0.0,77.0
12019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06037,59.0,148.0,0.0,60.0,150.0,1667.0,115.0,142.0,0.0,20090.0,139.0,64.0,0.0,0.0,27.0,125.0,63.0,188.0,192.0,0.0,243.0,18.0,0.0,130.0,0.0,10.0,0.0,48.0,0.0,4.0,1716.0
21101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44007,0.0,0.0,31.0,0.0,31.0,0.0,0.0,8.0,0.0,27.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,12.0,0.0,0.0
04013,0.0,0.0,0.0,54.0,32.0,18.0,0.0,95.0,0.0,6650.0,9.0,33.0,0.0,11.0,0.0,0.0,33.0,106.0,6.0,0.0,167.0,0.0,0.0,28.0,83.0,0.0,0.0,10.0,63.0,0.0,38.0
12115,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
13089,34.0,76.0,0.0,0.0,0.0,11.0,19.0,35.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
25027,0.0,0.0,0.0,0.0,7.0,0.0,48.0,9.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,8.0,0.0,0.0,41.0,0.0,0.0,8.0,0.0,0.0,0.0,67.0
06065,7.0,0.0,0.0,11.0,41.0,0.0,90.0,29.0,0.0,3329.0,36.0,0.0,0.0,15.0,0.0,0.0,0.0,9.0,12.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53033,0.0,206.0,75.0,0.0,52.0,142.0,330.0,43.0,215.0,585.0,44.0,7.0,0.0,0.0,0.0,28.0,0.0,98.0,555.0,15.0,587.0,0.0,0.0,10.0,142.0,0.0,0.0,0.0,0.0,0.0,378.0
51159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08035,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,39.0,0.0,29.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36061,70.0,60.0,12.0,67.0,59.0,190.0,252.0,204.0,0.0,145.0,42.0,364.0,0.0,0.0,15.0,47.0,0.0,192.0,241.0,4.0,518.0,46.0,50.0,313.0,13.0,11.0,0.0,0.0,0.0,0.0,143.0
38045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0
53033,0.0,206.0,75.0,0.0,52.0,142.0,330.0,43.0,215.0,585.0,44.0,7.0,0.0,0.0,0.0,28.0,0.0,98.0,555.0,15.0,587.0,0.0,0.0,10.0,142.0,0.0,0.0,0.0,0.0,0.0,378.0
48251,0.0,0.0,0.0,0.0,23.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06085,0.0,69.0,0.0,20.0,83.0,514.0,146.0,21.0,30.0,4369.0,69.0,34.0,0.0,0.0,0.0,14.0,0.0,62.0,126.0,35.0,72.0,0.0,5.0,39.0,0.0,28.0,0.0,125.0,0.0,0.0,541.0
26163,43.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,43.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29189,0.0,0.0,0.0,0.0,0.0,37.0,0.0,24.0,19.0,106.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
51059,117.0,0.0,0.0,0.0,4.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,49.0,11.0,0.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,9.0,81.0,6.0,346.0
13063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
48453,0.0,0.0,0.0,0.0,9.0,13.0,21.0,28.0,0.0,642.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,70.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
09009,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,32.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
39089,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
20173,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42133,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,43.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
22101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36047,559.0,20.0,16.0,4.0,86.0,7.0,73.0,0.0,0.0,524.0,190.0,203.0,0.0,0.0,0.0,11.0,0.0,16.0,5.0,0.0,75.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,26.0,0.0,44.0
06073,29.0,0.0,0.0,16.0,59.0,218.0,56.0,0.0,0.0,4174.0,0.0,154.0,0.0,11.0,23.0,0.0,0.0,36.0,281.0,11.0,61.0,11.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0
