county,team,pop
31113,CAN,0
31113,CHN,0
31113,COL,0
31113,CRC,0
31113,DEN,0
31113,ENG,0
31113,FRA,0
31113,GER,3
31113,HTI,0
31113,ITA,0
31113,JAM,0
31113,JPN,0
31113,KOR,0
31113,MAR,0
31113,NED,0
31113,NZL,0
31113,NGA,0
31113,NOW,0
31113,PAN,0
31113,PHL,0
31113,POR,0
31113,IRL,0
31113,ZAF,0
31113,ESP,0
31113,SWE,0
31113,SUI,0
31113,VNM,0
31113,ZMB,10
22111,ARG,0
22111,AUS,0
22111,BRA,0
22111,CAN,0
22111,CHN,0
22111,COL,0
22111,CRC,0
22111,DEN,0
22111,ENG,0
22111,FRA,0
22111,GER,10
22111,HTI,0
22111,ITA,1
22111,JAM,0
22111,JPN,0
22111,KOR,0
22111,MAR,0
22111,NED,0
22111,NZL,0
22111,NGA,0
22111,NOW,0
22111,PAN,0
22111,PHL,1
22111,POR,0
22111,IRL,0
22111,ZAF,0
22111,ESP,0
22111,SWE,0
22111,SUI,0
22111,VNM,5
22111,ZMB,84
20077,ARG,0
20077,AUS,0
20077,BRA,0
20077,CAN,0
20077,CHN,0
20077,COL,0
20077,CRC,0
20077,DEN,0
20077,ENG,0
20077,FRA,0
20077,GER,1
20077,HTI,0
20077,ITA,0
20077,JAM,0
20077,JPN,0
20077,KOR,0
20077,MAR,0
20077,NED,0
20077,NZL,0
20077,NGA,0
20077,NOW,0
20077,PAN,0
20077,PHL,5
20077,POR,0
20077,IRL,0
20077,ZAF,0
20077,ESP,0
20077,SWE,0
20077,SUI,0
20077,VNM,0
20077,ZMB,33
20205,ARG,0
20205,AUS,0
20205,BRA,0
20205,CAN,32
20205,CHN,0
20205,COL,0
20205,CRC,0
20205,DEN,0
20205,ENG,0
20205,FRA,0
20205,GER,6
20205,HTI,0
20205,ITA,0
20205,JAM,0
20205,JPN,0
20205,KOR,0
20205,MAR,0
20205,NED,0
20205,NZL,0
20205,NGA,0
20205,NOW,0
20205,PAN,0
20205,PHL,0
20205,POR,0
20205,IRL,0
20205,ZAF,4
20205,ESP,0
20205,SWE,0
20205,SUI,0
20205,VNM,0
20205,ZMB,44
38047,ARG,0
38047,AUS,0
38047,BRA,0
38047,CAN,0
38047,CHN,1
38047,COL,0
38047,CRC,0
